;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1OZ‖backspacekey2`‖SI‖En‖{U+232B}‖erase to the left
*C1OZ‖bskey`‖SI‖En‖{U+2190}‖leftwards arrow

*C1OZ‖capslockkey`‖SI‖En‖{U+21EA}‖upwards white arrow from bar
*C1OZ‖capskey`‖SI‖En‖{U+21EA}‖upwards white arrow from bar
*C1OZ‖scrolllockkey`‖SI‖En‖{U+2913}‖downwards arrow to bar
*C1OZ‖scrollkey`‖SI‖En‖{U+2913}‖downwards arrow to bar
*C1OZ‖numlockkey`‖SI‖En‖{U+21ED}‖upwards white arrow on pedestal with vertical bar
*C1OZ‖numkey`‖SI‖En‖{U+21ED}‖upwards white arrow on pedestal with vertical bar

*C1OZ‖composekey`‖SI‖En‖{U+2384}‖composition symbol
*C1OZ‖spacekey`‖SI‖En‖{U+2423}‖open box
*C1OZ‖spacekey2`‖SI‖En‖{U+2420}‖symbol for space
*C1OZ‖escapekey`‖SI‖En‖{U+238B}‖broken circle with northwest arrow
*C1OZ‖esckey`‖SI‖En‖{U+238B}‖broken circle with northwest arrow

*C1OZ‖homekey`‖SI‖En‖{U+21F1}‖north west arrow to corner
*C1OZ‖endkey`‖SI‖En‖{U+21F2}‖south east arrow to corner
*C1OZ‖menukey`‖SI‖En‖{U+2263}‖strictly equivalent to

